,Unnamed: 0,playerID,nameFirst,nameLast,bats,throws,debut,finalGame,G,AB,R,H,2B,3B,HR,RBI,SB,BB,SO,IBB,HBP,SH,SF,Years_Played,HoF,votedBy,Most Valuable Player,AS_games,Gold Glove,Rookie of the Year,World Series MVP,Silver Slugger,playerIDmstr,G_all,G_p,G_c,G_1b,G_2b,G_3b,G_ss,G_lf,G_cf,G_rf,G_of,G_dh,pre1920,1920-41,1942-45,1946-62,1963-76,1977-92,1993-2009,post2009,1B,SLG,OBS,OPS
3,239.0,allisdo01,Doug,Allison,R,R,1871-05-05,1883.0,318.0,1407.0,236.0,382.0,44.0,10.0,2.0,,,24.0,,,,,,10.0,,,,,,,,,allisdo01,316,1,277,2,1,0,1,0,7,54,61,0.0,316,0,0,0,0,0,0,0,326.0,0.3212508884150675,,
4,408.0,ansonca01,Cap,Anson,R,R,1871-05-06,1897.0,2524.0,10281.0,1999.0,3435.0,582.0,142.0,97.0,2075.0,,984.0,330.0,,,,,27.0,1.0,Old Timers,,,,,,,ansonca01,2524,3,105,2152,18,220,9,46,8,32,86,0.0,2524,0,0,0,0,0,0,0,2614.0,0.44664915864215543,,
11,960.0,battijo01,Joe,Battin,R,R,1871-08-11,1890.0,480.0,1953.0,228.0,439.0,51.0,25.0,3.0,,,40.0,,,,,,10.0,,,,,,,,,battijo01,480,3,2,0,125,340,5,0,9,6,15,0.0,480,0,0,0,0,0,0,0,360.0,0.28110599078341014,,
30,3966.0,cuthbne01,Ned,Cuthbert,R,R,1871-05-20,1884.0,452.0,2114.0,453.0,537.0,74.0,17.0,8.0,,,65.0,,,,,,10.0,,,,,,,,,cuthbne01,452,0,8,1,1,0,0,398,49,1,446,0.0,452,0,0,0,0,0,0,0,438.0,0.3164616840113529,,
34,5027.0,eggleda01,Dave,Eggler,R,R,1871-05-18,1885.0,576.0,2544.0,491.0,697.0,85.0,31.0,0.0,242.0,,49.0,,,,,,11.0,,,,,,,,,eggleda01,575,0,0,0,2,1,0,14,560,1,574,0.0,575,0,0,0,0,0,0,0,581.0,0.33176100628930816,,
36,5404.0,fergubo01,Bob,Ferguson,B,R,1871-05-18,1884.0,824.0,3467.0,544.0,920.0,102.0,30.0,1.0,,,128.0,,,,,,14.0,,,,,,,,,fergubo01,823,11,9,3,353,396,59,0,1,5,6,0.0,823,0,0,0,0,0,0,0,787.0,0.3129506778194404,,
44,5698.0,forceda01,Davy,Force,R,R,1871-05-05,1886.0,1029.0,4250.0,653.0,1059.0,143.0,27.0,1.0,376.0,,156.0,268.0,,,,,15.0,,,,,,,,,forceda01,1029,4,0,0,163,160,716,0,0,3,3,0.0,1029,0,0,0,0,0,0,0,888.0,0.29623529411764704,,
45,5959.0,fulmech01,Chick,Fulmer,R,R,1871-06-05,1884.0,583.0,2439.0,361.0,635.0,70.0,30.0,8.0,,,43.0,,,,,,11.0,,,,,,,,,fulmech01,582,2,1,2,88,65,430,0,1,1,2,0.0,582,0,0,0,0,0,0,0,527.0,0.3234932349323493,,
68,11122.0,mathebo01,Bobby,Mathews,R,R,1871-05-04,1887.0,623.0,2486.0,318.0,504.0,48.0,9.0,1.0,,,73.0,,,,,,15.0,,,,,,,,,mathebo01,622,577,0,0,0,9,2,5,10,66,80,0.0,622,0,0,0,0,0,0,0,446.0,0.23049074818986323,,
72,11471.0,mcgeami01,Mike,McGeary,R,R,1871-05-09,1882.0,547.0,2481.0,484.0,684.0,56.0,13.0,0.0,236.0,,26.0,60.0,,,,,11.0,,,,,,,,,mcgeami01,547,0,96,0,196,117,147,0,2,9,11,0.0,547,0,0,0,0,0,0,0,615.0,0.30874647319629184,,
